instance_type,m,n,p,k,instance_id,method,strategy,lb_type,cost,time_seconds,nodes,status,error
uniform,50,100,0.05,0,0,greedy,,,17.0,0.0010657310485839,1,success,
uniform,50,100,0.05,0,1,greedy,,,18.0,0.0029973983764648,1,success,
uniform,50,100,0.05,0,1,bb,dfs,sum_degree,16.0,0.1107053756713867,759,success,
uniform,50,100,0.05,0,0,bb,dfs,both,16.0,0.1513283252716064,918,success,
uniform,50,100,0.05,0,0,bb,dfs,packing,16.0,0.1767644882202148,2952,success,
uniform,50,100,0.05,0,1,bb,dfs,packing,16.0,0.1742594242095947,1792,success,
uniform,50,100,0.05,0,1,bb,dfs,both,16.0,0.1236803531646728,488,success,
uniform,50,100,0.05,0,2,greedy,,,17.0,0.0009043216705322,1,success,
uniform,50,100,0.05,0,0,bb,dfs,sum_degree,16.0,0.2554788589477539,2145,success,
uniform,50,100,0.05,0,2,bb,dfs,packing,15.0,0.0247681140899658,283,success,
uniform,50,100,0.05,0,2,bb,dfs,both,15.0,0.0395684242248535,164,success,
uniform,50,100,0.05,0,0,bb,best_first,packing,16.0,0.4515635967254638,2079,success,
uniform,50,100,0.05,0,2,bb,dfs,sum_degree,15.0,0.2227301597595214,1153,success,
uniform,50,100,0.05,0,2,bb,best_first,packing,15.0,0.1759271621704101,1469,success,
uniform,50,100,0.05,0,3,greedy,,,24.0,0.0010931491851806,1,success,
uniform,50,100,0.05,0,0,bb,best_first,sum_degree,16.0,0.7187302112579346,1826,success,
uniform,50,100,0.05,0,0,bb,best_first,both,16.0,0.7303781509399414,959,success,
uniform,50,100,0.05,0,3,bb,dfs,packing,21.0,0.0210752487182617,225,success,
uniform,50,100,0.05,0,3,bb,dfs,both,21.0,0.041555643081665,196,success,
uniform,50,100,0.05,0,2,bb,best_first,both,15.0,0.3439610004425049,1072,success,
uniform,50,100,0.05,0,1,bb,best_first,sum_degree,16.0,1.0308103561401367,8111,success,
uniform,50,100,0.05,0,4,greedy,,,17.0,0.0009472370147705,1,success,
uniform,50,100,0.05,0,1,bb,best_first,packing,16.0,1.1629228591918943,8538,success,
uniform,50,100,0.05,0,2,bb,best_first,sum_degree,15.0,1.0615367889404297,5686,success,
uniform,50,100,0.05,0,3,bb,best_first,packing,21.0,0.601921796798706,6344,success,
uniform,50,100,0.05,0,1,bb,best_first,both,16.0,1.22406268119812,5987,success,
uniform,50,100,0.05,0,4,bb,dfs,sum_degree,15.0,0.3783998489379883,1990,success,
uniform,50,100,0.05,0,3,bb,best_first,both,21.0,0.9686825275421144,5492,success,
uniform,50,100,0.05,0,5,greedy,,,19.0,0.0035033226013183,1,success,
uniform,50,100,0.05,0,4,bb,dfs,both,15.0,0.7026031017303467,1449,success,
uniform,50,100,0.05,0,5,bb,dfs,sum_degree,16.0,0.3069610595703125,948,success,
uniform,50,100,0.05,0,4,bb,dfs,packing,15.0,1.0041885375976562,5301,success,
uniform,50,100,0.05,0,5,bb,dfs,both,16.0,0.321315050125122,589,success,
uniform,50,100,0.05,0,5,bb,dfs,packing,16.0,0.3699319362640381,2136,success,
uniform,50,100,0.05,0,5,bb,best_first,sum_degree,16.0,0.6944425106048584,2282,success,
uniform,50,100,0.05,0,6,greedy,,,16.0,0.0033628940582275,1,success,
uniform,50,100,0.05,0,5,bb,best_first,both,16.0,0.6390442848205566,1224,success,
uniform,50,100,0.05,0,5,bb,best_first,packing,16.0,0.6823644638061523,2831,success,
uniform,50,100,0.05,0,6,bb,dfs,packing,16.0,0.0749619007110595,454,success,
uniform,50,100,0.05,0,6,bb,dfs,sum_degree,16.0,0.1461439132690429,514,success,
uniform,50,100,0.05,0,6,bb,dfs,both,16.0,0.0784370899200439,162,success,
uniform,50,100,0.05,0,6,bb,best_first,both,16.0,0.0778963565826416,55,success,
uniform,50,100,0.05,0,7,greedy,,,16.0,0.0014536380767822,1,success,
uniform,50,100,0.05,0,6,bb,best_first,packing,16.0,0.0903630256652832,134,success,
uniform,50,100,0.05,0,7,bb,dfs,sum_degree,14.0,0.0258011817932128,82,success,
uniform,50,100,0.05,0,7,bb,dfs,packing,14.0,0.0577437877655029,263,success,
uniform,50,100,0.05,0,7,bb,dfs,both,14.0,0.0420777797698974,76,success,
uniform,50,100,0.05,0,6,bb,best_first,sum_degree,16.0,0.1816489696502685,173,success,
uniform,50,100,0.05,0,7,bb,best_first,sum_degree,14.0,0.1212432384490966,403,success,
uniform,50,100,0.05,0,8,greedy,,,19.0,0.0019536018371582,1,success,
uniform,50,100,0.05,0,8,bb,dfs,sum_degree,17.0,0.0358600616455078,143,success,
uniform,50,100,0.05,0,7,bb,best_first,both,14.0,0.1828601360321045,346,success,
uniform,50,100,0.05,0,7,bb,best_first,packing,14.0,0.2088236808776855,835,success,
uniform,50,100,0.05,0,8,bb,dfs,packing,17.0,0.0772426128387451,326,success,
uniform,50,100,0.05,0,8,bb,dfs,both,17.0,0.0544345378875732,115,success,
uniform,50,100,0.05,0,8,bb,best_first,sum_degree,17.0,0.230079174041748,989,success,
uniform,50,100,0.05,0,9,greedy,,,17.0,0.0034341812133789,1,success,
uniform,50,100,0.05,0,8,bb,best_first,both,17.0,0.3089609146118164,712,success,
uniform,50,100,0.05,0,8,bb,best_first,packing,17.0,0.5017154216766357,2159,success,
uniform,50,100,0.05,0,9,bb,dfs,sum_degree,15.0,0.3132655620574951,1075,success,
uniform,50,100,0.05,0,3,bb,dfs,sum_degree,21.0,3.631691694259644,20266,success,
uniform,50,100,0.05,0,9,bb,dfs,packing,15.0,0.3601360321044922,1722,success,
uniform,50,100,0.05,0,4,bb,best_first,sum_degree,15.0,2.903858423233032,7315,success,
uniform,50,100,0.05,0,10,greedy,,,15.0,0.0055744647979736,1,success,
uniform,50,100,0.05,0,10,bb,dfs,sum_degree,15.0,0.1994471549987793,550,success,
uniform,50,100,0.05,0,9,bb,dfs,both,15.0,0.4647061824798584,692,success,
uniform,50,100,0.05,0,10,bb,dfs,packing,15.0,0.1140189170837402,462,success,
uniform,50,100,0.05,0,10,bb,dfs,both,15.0,0.1797888278961181,208,success,
uniform,50,100,0.05,0,10,bb,best_first,sum_degree,15.0,0.1994967460632324,190,success,
uniform,50,100,0.05,0,10,bb,best_first,packing,15.0,0.1354830265045166,156,success,
uniform,50,100,0.05,0,11,greedy,,,21.0,0.0039503574371337,1,success,
uniform,50,100,0.05,0,10,bb,best_first,both,15.0,0.1422128677368164,74,success,
uniform,50,100,0.05,0,11,bb,dfs,packing,17.0,0.0677225589752197,357,success,
uniform,50,100,0.05,0,11,bb,dfs,sum_degree,17.0,0.2770161628723144,968,success,
uniform,50,100,0.05,0,11,bb,dfs,both,17.0,0.1312532424926757,329,success,
uniform,50,100,0.05,0,9,bb,best_first,packing,15.0,0.9696452617645264,3535,success,
uniform,50,100,0.05,0,4,bb,best_first,both,15.0,3.675049781799317,5295,success,
uniform,50,100,0.05,0,12,greedy,,,18.0,0.0033833980560302,1,success,
uniform,50,100,0.05,0,12,bb,dfs,sum_degree,18.0,0.1545286178588867,660,success,
uniform,50,100,0.05,0,4,bb,best_first,packing,15.0,4.15792441368103,14301,success,
uniform,50,100,0.05,0,12,bb,dfs,packing,18.0,0.3565614223480224,2709,success,
uniform,50,100,0.05,0,12,bb,dfs,both,18.0,0.2359693050384521,566,success,
uniform,50,100,0.05,0,9,bb,best_first,sum_degree,15.0,1.7795791625976562,4882,success,
uniform,50,100,0.05,0,11,bb,best_first,packing,17.0,0.7394728660583496,4332,success,
uniform,50,100,0.05,0,13,greedy,,,17.0,0.0041685104370117,1,success,
uniform,50,100,0.05,0,12,bb,best_first,sum_degree,18.0,0.1584489345550537,210,success,
uniform,50,100,0.05,0,9,bb,best_first,both,15.0,1.683938980102539,2882,success,
uniform,50,100,0.05,0,13,bb,dfs,sum_degree,17.0,0.0510711669921875,159,success,
uniform,50,100,0.05,0,13,bb,dfs,packing,17.0,0.0773353576660156,552,success,
uniform,50,100,0.05,0,13,bb,best_first,sum_degree,17.0,0.0457842350006103,64,success,
uniform,50,100,0.05,0,13,bb,dfs,both,17.0,0.0540919303894043,108,success,
uniform,50,100,0.05,0,14,greedy,,,16.0,0.0014843940734863,1,success,
uniform,50,100,0.05,0,13,bb,best_first,both,17.0,0.0510077476501464,41,success,
uniform,50,100,0.05,0,13,bb,best_first,packing,17.0,0.0776803493499755,173,success,
uniform,50,100,0.05,0,14,bb,dfs,sum_degree,15.0,0.1006810665130615,460,success,
uniform,50,100,0.05,0,12,bb,best_first,both,18.0,0.2296435832977295,180,success,
uniform,50,100,0.05,0,14,bb,dfs,packing,15.0,0.0785415172576904,672,success,
uniform,50,100,0.05,0,12,bb,best_first,packing,18.0,0.3524725437164306,722,success,
uniform,50,100,0.05,0,15,greedy,,,20.0,0.0028378963470458,1,success,
uniform,50,100,0.05,0,14,bb,dfs,both,15.0,0.1071898937225341,321,success,
uniform,50,100,0.05,0,11,bb,best_first,both,17.0,0.9597249031066896,2378,success,
uniform,50,100,0.05,0,14,bb,best_first,packing,15.0,0.2492690086364746,420,success,
uniform,50,100,0.05,0,14,bb,best_first,both,15.0,0.2563209533691406,202,success,
uniform,50,100,0.05,0,14,bb,best_first,sum_degree,15.0,0.3131494522094726,377,success,
uniform,50,100,0.05,0,11,bb,best_first,sum_degree,17.0,1.4934277534484863,5207,success,
uniform,50,100,0.05,0,16,greedy,,,16.0,0.0026202201843261,1,success,
uniform,50,100,0.05,0,16,bb,dfs,sum_degree,15.0,0.0870165824890136,312,success,
uniform,50,100,0.05,0,15,bb,dfs,sum_degree,18.0,0.7924826145172119,3518,success,
uniform,50,100,0.05,0,16,bb,dfs,packing,15.0,0.2851536273956299,2274,success,
uniform,50,100,0.05,0,16,bb,dfs,both,15.0,0.0770087242126464,193,success,
uniform,50,100,0.05,0,15,bb,dfs,both,18.0,0.9637537002563475,2445,success,
uniform,50,100,0.05,0,16,bb,best_first,sum_degree,15.0,0.5915708541870117,821,success,
uniform,50,100,0.05,0,17,greedy,,,18.0,0.0008676052093505,1,success,
uniform,50,100,0.05,0,16,bb,best_first,packing,15.0,0.6963834762573242,3225,success,
uniform,50,100,0.05,0,15,bb,dfs,packing,18.0,1.5706899166107178,12240,success,
uniform,50,100,0.05,0,16,bb,best_first,both,15.0,0.6663472652435303,718,success,
uniform,50,100,0.05,0,3,bb,best_first,sum_degree,21.0,8.505225419998169,40858,success,
uniform,50,100,0.05,0,15,bb,best_first,sum_degree,18.0,5.718565464019775,26638,success,
uniform,50,100,0.05,0,15,bb,best_first,packing,18.0,6.311634540557861,36171,success,
uniform,50,100,0.05,0,18,greedy,,,19.0,0.0036487579345703,1,success,
uniform,50,100,0.05,0,15,bb,best_first,both,18.0,6.783629417419434,19861,success,
uniform,50,100,0.05,0,18,bb,dfs,sum_degree,17.0,1.8779606819152832,8161,success,
uniform,50,100,0.05,0,18,bb,dfs,packing,17.0,3.2721714973449707,21791,success,
uniform,50,100,0.05,0,18,bb,dfs,both,17.0,1.9279959201812744,4575,success,
uniform,50,100,0.05,0,17,bb,dfs,both,17.0,11.77025842666626,27862,success,
uniform,50,100,0.05,0,17,bb,dfs,sum_degree,17.0,12.374602556228638,51124,success,
uniform,50,100,0.05,0,19,greedy,,,21.0,0.003589391708374,1,success,
uniform,50,100,0.05,0,18,bb,best_first,sum_degree,17.0,4.076993227005005,14638,success,
uniform,50,100,0.05,0,19,bb,dfs,sum_degree,18.0,1.0758836269378662,3774,success,
uniform,50,100,0.05,0,19,bb,dfs,packing,18.0,0.7732729911804199,3886,success,
uniform,50,100,0.05,0,19,bb,dfs,both,18.0,0.7593622207641602,1803,success,
uniform,50,100,0.05,0,18,bb,best_first,packing,17.0,6.069729804992676,24529,success,
uniform,50,100,0.05,0,18,bb,best_first,both,17.0,3.36560583114624,7004,success,
uniform,50,100,0.05,0,20,greedy,,,17.0,0.0009331703186035,1,success,
uniform,50,100,0.05,0,20,bb,dfs,sum_degree,16.0,0.113797903060913,882,success,
uniform,50,100,0.05,0,17,bb,dfs,packing,17.0,15.285658597946169,101984,success,
uniform,50,100,0.05,0,20,bb,dfs,both,16.0,0.1447343826293945,674,success,
uniform,50,100,0.05,0,20,bb,dfs,packing,16.0,0.1474614143371582,2033,success,
uniform,50,100,0.05,0,20,bb,best_first,sum_degree,16.0,0.2114584445953369,556,success,
uniform,50,100,0.05,0,20,bb,best_first,packing,16.0,0.3862032890319824,1702,success,
uniform,50,100,0.05,0,21,greedy,,,17.0,0.0021066665649414,1,success,
uniform,50,100,0.05,0,20,bb,best_first,both,16.0,0.2976317405700683,455,success,
uniform,50,100,0.05,0,19,bb,best_first,packing,18.0,2.143307685852051,17629,success,
uniform,50,100,0.05,0,21,bb,dfs,sum_degree,16.0,0.5753052234649658,1827,success,
uniform,50,100,0.05,0,19,bb,best_first,sum_degree,18.0,3.6049771308898926,19436,success,
uniform,50,100,0.05,0,21,bb,dfs,both,16.0,0.969571590423584,1518,success,
uniform,50,100,0.05,0,21,bb,dfs,packing,16.0,1.2983384132385254,4978,success,
uniform,50,100,0.05,0,22,greedy,,,17.0,0.0015184879302978,1,success,
uniform,50,100,0.05,0,22,bb,dfs,sum_degree,16.0,0.2359476089477539,1200,success,
uniform,50,100,0.05,0,22,bb,dfs,packing,16.0,0.1177597045898437,1427,success,
uniform,50,100,0.05,0,22,bb,dfs,both,16.0,0.1400654315948486,423,success,
uniform,50,100,0.05,0,22,bb,best_first,sum_degree,16.0,0.4956457614898681,909,success,
uniform,50,100,0.05,0,19,bb,best_first,both,18.0,3.6231884956359854,10629,success,
uniform,50,100,0.05,0,22,bb,best_first,both,16.0,0.3084995746612549,340,success,
uniform,50,100,0.05,0,23,greedy,,,17.0,0.0034759044647216,1,success,
uniform,50,100,0.05,0,23,bb,dfs,sum_degree,16.0,0.1028523445129394,328,success,
uniform,50,100,0.05,0,23,bb,dfs,packing,16.0,0.1559970378875732,848,success,
